first name,last name,Google Scholar URL
Guido,Makransky,https://scholar.google.ca/citations?user=syi-4TwAAAAJ&hl=en
Hang,Yin,https://scholar.google.se/citations?hl=en&user=7VW7URUAAAAJ
Henning,Christiansen,https://scholar.google.com/citations?user=GfJwG40AAAAJ&hl=en&oi=ao
Henning,Christiansen,https://scholar.google.com/citations?user=GfJwG40AAAAJ
Hua,Lu,https://scholar.google.com/citations?user=h1mExmcAAAAJ&hl=da
Hubert,Zając,https://scholar.google.com/citations?user=rr-Z8FAAAAAJ
Hugo A,López,https://scholar.google.com/citations?user=ZNtN05IAAAAJ&hl=en
Ioannis,Caragiannis,https://scholar.google.gr/citations?hl=en&user=FSIQi4IAAAAJ
Isabelle,Augenstein,https://scholar.google.co.uk/citations?user=DjJp0dcAAAAJ&hl=da
Ivan,Nikolov,https://scholar.google.com/citations?user=K2m6cxcAAAAJ&hl=en
Iván,López-Espejo,https://scholar.google.es/citations?user=MRePLRQAAAAJ&hl=en
Ivana,Konvalinka,https://scholar.google.com/citations?user=lOM8LloAAAAJ&hl=en
Jacopo,Mauro,https://scholar.google.it/citations?user=brh_I2kAAAAJ&hl=en
Jakob,Bardram,https://scholar.google.dk/citations?user=pRriaUQAAAAJ&hl=da
Jalal,Kazempour,https://scholar.google.com/citations?hl=en&user=paWy7YYAAAAJ
Jan,Østergaard,https://scholar.google.com/citations?hl=en&user=P7rpiNUAAAAJ
Jannick Kirk,Sørensen,https://scholar.google.cz/citations?hl=en&user=mgOOAPQAAAAJ
Jason,Burton,https://scholar.google.com/citations?user=-uFQHacAAAAJ
Jaspreet,Kaur,https://scholar.google.com/citations?user=vdUTAyAAAAAJ&hl=en
Jens Egholm,Pedersen,https://scholar.google.com/citations?user=A4VwxccAAAAJ&hl=en
Jens Ulrik,Hansen,https://scholar.google.com/citations?user=z-2DGOEAAAAJ&hl=en
Jes,Frellsen,https://scholar.google.com/citations?user=Yj2sBWkAAAAJ
Jichen,Zhu,https://scholar.google.com/citations?user=t5AZ2-AAAAAJ&hl=en
Joakim,Juhl,https://scholar.google.com/citations?user=hO6rB1sAAAAJ&hl=da
Joakim Bruslnd,Haurum,https://scholar.google.com/citations?user=GAEtgr4AAAAJ
Joanna,Bergström,https://scholar.google.dk/citations?user=NL1Q89sAAAAJ&hl=fi
Jon,Sporring,https://scholar.google.com/citations?user=COP1HUwAAAAJ
Jonas,Peters,https://scholar.google.de/citations?user=kBQ4VvEAAAAJ&hl=da&oi=ao
Jonas L,Juul,https://scholar.google.com/citations?user=uJPXFyMAAAAJ&hl=en
