Name,Affiliation,Citations,H-Index,I10-Index,Interests,Profile Picture URL
"Barbara Plank","Professor, LMU Munich and ITU Copenhagen",5701,39,91,"Natural Language Processing;Computational Linguistics;Machine Learning;Transfer Learning","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=5nGlwIQAAAAJ&citpid=10"
"J. Berian James","Independent",961,13,14,"","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=PABNxQQAAAAJ&citpid=2"
"Bo Sørensen","Assistant Professor, University of Copenhagen",32,4,1,"Chinese history;comparative literature;cognitive literature","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=G6Stf2gAAAAJ&citpid=1"
"Boris Duedder","Associate Professor, University of Copenhagen",531,13,19,"Software engineering;formal methods;programming languages;distributed systems;trustworthy & security","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0ic62YwAAAAJ&citpid=2"
"Bulat Ibragimov","Associate Professor at University of Copenhagen",3170,28,39,"","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=IPQZ4bkAAAAJ&citpid=3"
"Carmelo Bellardita","Associate professor, Copenhagen University",971,10,10,"Motor control  Spinal cord injury  Recovery of functional movements","N/A"
"Carsten Schürmann","Computer Science, IT University of Copenhagen",2556,23,35,"logical frameworks;type theory;information security;election technologies","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=zZeKV74AAAAJ&citpid=1"
"Cedomir Stefanovic","Professor in Communications and Networking, Aalborg University",5723,35,74,"Communication theory;Wireless networks","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Yn0o2ekAAAAJ&citpid=6"
"Chen LI","Department of Materials and Production, Aalborg University",365,10,13,"Industry 4.0;System Modeling;Machine Learning;Natural Language Processing","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=mDgw3yoAAAAJ&citpid=3"
"Cheol-Ho Jeong","Associate professor of Acoustics, Technical University of Denmark",1473,21,44,"Acoustics","N/A"
"Christa Gall","Dark Cosmology Centre/Niels Bohr Institute/University of Copenhagen",3095,31,48,"","N/A"
"Christian Igel","Department of Computer Science, University of Copenhagen",16473,52,133,"machine learning;computational intelligence;optimization;computational neuroscience","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=d-jF4zIAAAAJ&citpid=2"
"Christian Hardmeier","Associate Professor, IT University of Copenhagen",1778,21,38,"Natural Language Processing;Machine Translation;Discourse;Bias/Fairness in NLP;Translation Studies","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=AmRp1T0AAAAJ&citpid=1"
"Christian Møller Dahl","University of Southern Denmark",1361,16,23,"Econometrics and Machine Learning","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Sa49W7kAAAAJ&citpid=1"
"Christina Lioma","Professor in Computer Science,  University of Copenhagen",3326,28,56,"Machine Learning;Information Retrieval;NLP;Artificial Intelligence;Recommender Systems","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=dXkFCYoAAAAJ&citpid=9"
"Christos Markos","DTU Electro, Head of Neural Devices and Gas Photonics group, Technical University of Denmark",3378,30,54,"Advanced materials;Physics;Sensors;Multifunctional devices","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=wOWBlK4AAAAJ&citpid=2"
"Chun Kit Wong","Technical University of Denmark",19,2,1,"medical image analysis;deep learning","N/A"
"Costanza Navarretta","Senior researcher, University of Copenhagen",1453,17,40,"Computational Linguistics;Multimodal Communication","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9zYEnbIAAAAJ&citpid=3"
"Cumhur Erkut","Associate Professor, Aalborg University Copenhagen",2381,23,48,"Extended Reality;Embodied Interaction;Sonic Interaction Design;Sound Synthesis;Sound and Music Computing","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=NPYFs5EAAAAJ&citpid=7"
"Daniel S. Hain","Associate Professor, Aalborg University Business School",581,14,17,"Data Science;Applied Ecomometrics;Network Analysis;Economics of Technological Change;Complexity Economics","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=7C8kR8EAAAAJ&citpid=3"
"Daniel Hershcovich","University of Copenhagen",1311,16,26,"Natural Language Processing","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=479qIucAAAAJ&citpid=2"
"Daniel Spikol","Associate Professor of Computer Science, University of Copenhagen",2817,20,35,"Learning Analytics;Mobile Learning;Interaction Design;CSCL;TEL","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=q_61LpYAAAAJ&citpid=1"
"Daniel Michelsanti","Data Scientist (Medical Image Analysis) @ Novo Nordisk",600,7,7,"Machine Learning;Speech Processing;Computer Vision","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Rk4O2mEAAAAJ&citpid=3"
"Darko Zibar","Professor, Group leader Machine Learning in Photonic Systems,Technical University of Denmark",6459,40,136,"optical communication;machine learning;photonics","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ir13bnAAAAAJ&citpid=3"
"Davide Mottin","Associate Professor, Department of Computer Science, Aarhus University",1193,17,24,"graph mining;database usability;machine learning;data mining","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=evZ9Q9EAAAAJ&citpid=5"
"Dennis Ulmer","IT University of Copenhagen",144,6,6,"Natural Language Processing;Machine Learning;Deep Learning;Generalization;Uncertainty Quantification","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rn9WoaEAAAAJ&citpid=8"
